Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5,Range_of_purchases,Categories,Age_Range
50,14,2945,6621,1611,20501,7939,15000-20000,Fornitures,43-52
46,13,1875,502,1002,11108,11148,15000-20000,Fornitures,43-52
44,16,4544,338,78,4030,4830,15000-20000,Fornitures,43-52
50,8,2105,8479,2433,16956,3488,15000-20000,Fornitures,43-52
46,6,2300,2015,2103,20101,2283,15000-20000,Fornitures,43-52
50,18,306,8573,1951,6959,5538,15000-20000,Fornitures,43-52
30,13,1313,1237,1994,15822,14935,2500-10000,Food,25-16
48,3,2990,1526,608,15433,1016,15000-20000,Fornitures,43-52
49,12,574,4919,406,23698,11589,15000-20000,Fornitures,43-52
31,11,912,9821,2483,21851,9736,2500-10000,Food,25-16
35,16,902,3014,1454,5217,10592,10000-15000,Electrical Products,34-43
36,12,1953,5672,1539,9816,8786,10000-15000,Electrical Products,34-43
34,4,4365,9938,1651,5948,9113,2500-10000,Food,34-43
59,17,474,3066,640,21370,3038,20000-25000,Travels,52-61
37,6,2497,1897,1333,16435,2106,10000-15000,Electrical Products,34-43
46,3,2751,8954,1705,7479,12457,15000-20000,Fornitures,43-52
61,9,2544,5008,1283,10969,9700,20000-25000,Travels,61-70
39,8,903,1200,1799,3063,1765,10000-15000,Electrical Products,34-43
38,14,4969,7253,2208,14945,7953,10000-15000,Electrical Products,34-43
49,13,1775,2636,442,7071,6605,15000-20000,Fornitures,43-52
51,12,890,4527,2220,765,6318,15000-20000,Fornitures,43-52
40,16,608,174,547,24866,10311,10000-15000,Electrical Products,34-43
43,13,3405,6125,2201,16344,7526,10000-15000,Electrical Products,43-52
52,1,910,8682,916,14258,7125,15000-20000,Fornitures,52-61
45,11,4749,6551,714,5886,13098,15000-20000,Fornitures,43-52
63,1,4145,2452,1413,16127,12505,0-10000,Home Prodcts,61-70
33,18,63,5338,334,17530,11317,2500-10000,Food,25-16
52,19,1154,1550,489,20003,14270,15000-20000,Fornitures,52-61
38,14,1909,1409,324,18118,4624,10000-15000,Electrical Products,34-43
46,20,2151,5855,2008,4914,11708,15000-20000,Fornitures,43-52
67,20,4355,5771,2001,24977,13862,0-10000,Home Prodcts,61-70
44,13,1653,3015,692,13624,14933,15000-20000,Fornitures,43-52
49,9,192,1036,35,22263,844,15000-20000,Fornitures,43-52
30,19,4099,3178,1175,23489,2645,2500-10000,Food,25-16
51,10,2669,1499,628,24782,12393,15000-20000,Fornitures,43-52
53,14,1447,1029,1215,15686,8291,20000-25000,Travels,52-61
41,14,586,8778,1967,13898,4230,10000-15000,Electrical Products,34-43
50,1,3065,9195,300,12712,1953,15000-20000,Fornitures,43-52
45,4,2098,2952,587,9554,14729,15000-20000,Fornitures,43-52
31,8,4957,8411,1612,2865,12140,2500-10000,Food,25-16
42,3,1591,9099,1676,23441,9584,10000-15000,Electrical Products,34-43
50,19,3814,3531,2491,1309,13909,15000-20000,Fornitures,43-52
45,13,3138,8643,2304,19035,9855,15000-20000,Fornitures,43-52
40,19,2350,4829,181,17525,146,10000-15000,Electrical Products,34-43
45,18,128,4606,1778,19869,14914,15000-20000,Fornitures,43-52
42,14,2216,864,2238,16422,4125,10000-15000,Electrical Products,34-43
46,16,964,5226,1388,19414,7717,15000-20000,Fornitures,43-52
50,7,2111,4313,26,7119,5586,15000-20000,Fornitures,43-52
58,16,2985,6742,2054,14378,10511,20000-25000,Travels,52-61
48,7,4998,4141,182,9632,131,15000-20000,Fornitures,43-52
47,2,4649,906,1357,7325,5048,15000-20000,Fornitures,43-52
58,13,4989,317,1041,628,188,20000-25000,Travels,52-61
53,19,980,9229,1939,8415,11390,20000-25000,Travels,52-61
40,17,2915,4973,820,5,4983,10000-15000,Electrical Products,34-43
37,20,1547,7842,2226,21260,2482,10000-15000,Electrical Products,34-43
66,6,451,9780,1436,19584,1427,0-10000,Home Prodcts,61-70
51,1,1758,2210,1097,1248,7197,15000-20000,Fornitures,43-52
36,19,3547,7442,2252,22010,13315,10000-15000,Electrical Products,34-43
44,10,5,4970,718,9670,5114,15000-20000,Fornitures,43-52
36,13,899,9698,1832,21064,2432,10000-15000,Electrical Products,34-43
22,14,1869,9711,956,24134,1281,0-2500,Games,16-25
34,9,4607,8001,1345,13203,4836,2500-10000,Food,34-43
48,18,1081,3799,1086,12394,12041,15000-20000,Fornitures,43-52
56,20,2355,5017,1961,17725,3572,20000-25000,Travels,52-61
40,3,285,6895,2410,12638,8678,10000-15000,Electrical Products,34-43
35,9,512,2066,116,17731,3582,10000-15000,Electrical Products,34-43
53,15,2238,1592,555,14796,11361,20000-25000,Travels,52-61
40,20,1742,4184,246,10827,854,10000-15000,Electrical Products,34-43
35,19,1526,7415,1574,16033,7923,10000-15000,Electrical Products,34-43
42,3,4130,4794,1781,16865,8773,10000-15000,Electrical Products,34-43
55,7,4074,3306,1002,12199,810,20000-25000,Travels,52-61
41,9,4775,2805,1700,6453,10839,10000-15000,Electrical Products,34-43
43,8,2869,5670,726,16428,13098,10000-15000,Electrical Products,43-52
41,13,3617,1375,786,9543,6675,10000-15000,Electrical Products,34-43
47,16,1128,9187,779,5018,13242,15000-20000,Fornitures,43-52
48,1,1305,6285,2481,15232,12150,15000-20000,Fornitures,43-52
38,20,4974,9332,731,19689,11705,10000-15000,Electrical Products,34-43
55,18,2457,8751,183,6551,12343,20000-25000,Travels,52-61
40,13,4216,5898,390,2179,3557,10000-15000,Electrical Products,34-43
36,9,3441,8901,1360,9064,4089,10000-15000,Electrical Products,34-43
41,2,4243,8855,2191,22861,4288,10000-15000,Electrical Products,34-43
51,13,2071,5956,523,1445,14299,15000-20000,Fornitures,43-52
50,19,1988,7358,848,21527,1535,15000-20000,Fornitures,43-52
30,1,4395,5541,2257,12073,11574,2500-10000,Food,25-16
26,7,1594,8424,336,14829,11067,2500-10000,Food,25-16
37,8,4390,735,1212,7480,1249,10000-15000,Electrical Products,34-43
44,9,4251,1838,2413,23677,10742,15000-20000,Fornitures,43-52
47,15,4698,2633,1110,1679,11431,15000-20000,Fornitures,43-52
50,6,3891,4501,2440,7006,8526,15000-20000,Fornitures,43-52
55,3,2007,214,37,22793,5601,20000-25000,Travels,52-61
48,13,3755,4980,1740,21855,13167,15000-20000,Fornitures,43-52
43,6,3063,8632,2376,24878,9826,10000-15000,Electrical Products,43-52
32,1,1093,7242,1211,14269,623,2500-10000,Food,25-16
41,15,1686,6013,2389,15169,6025,10000-15000,Electrical Products,34-43
39,20,4706,6938,866,20657,6449,10000-15000,Electrical Products,34-43
38,14,766,4100,1273,11674,645,10000-15000,Electrical Products,34-43
47,15,33,9766,2118,1933,4163,15000-20000,Fornitures,43-52
38,17,2225,1434,2352,13079,4082,10000-15000,Electrical Products,34-43
39,3,4469,470,2432,11477,4493,10000-15000,Electrical Products,34-43
47,8,2147,7736,431,22356,3517,15000-20000,Fornitures,43-52
34,10,4474,7242,1556,23487,11294,2500-10000,Food,34-43
25,16,4152,5736,2321,7058,12166,0-2500,Games,25-16
35,14,4899,8921,2073,1625,6551,10000-15000,Electrical Products,34-43
34,17,2373,3352,2176,2442,8572,2500-10000,Food,34-43
40,2,1382,4030,2204,20658,5719,10000-15000,Electrical Products,34-43
39,7,2345,4568,525,22736,849,10000-15000,Electrical Products,34-43
35,19,2293,7160,141,1344,1358,10000-15000,Electrical Products,34-43
37,9,1107,2720,1616,23108,4556,10000-15000,Electrical Products,34-43
44,5,1245,5923,1704,12616,26,15000-20000,Fornitures,43-52
42,14,2295,9557,1053,12637,10649,10000-15000,Electrical Products,34-43
19,17,4781,6172,1247,19681,10704,0-2500,Games,16-25
31,20,3159,4886,1355,4556,2436,2500-10000,Food,25-16
23,17,2999,3515,1565,18037,4511,0-2500,Games,16-25
41,8,1258,2612,309,23708,10586,10000-15000,Electrical Products,34-43
44,16,550,367,204,21267,2216,15000-20000,Fornitures,43-52
44,2,4839,3476,1141,24665,6102,15000-20000,Fornitures,43-52
38,17,1681,9739,2351,22956,11545,10000-15000,Electrical Products,34-43
42,14,3895,3551,1853,5810,9313,10000-15000,Electrical Products,34-43
53,10,4487,986,1355,11824,1081,20000-25000,Travels,52-61
41,5,1607,8904,896,23919,922,10000-15000,Electrical Products,34-43
45,9,2650,5021,2465,11660,5701,15000-20000,Fornitures,43-52
32,5,1520,3391,1660,16715,185,2500-10000,Food,25-16
51,3,3142,8176,1841,15375,9972,15000-20000,Fornitures,43-52
49,8,4276,7600,1628,18260,12059,15000-20000,Fornitures,43-52
59,1,568,5941,146,15959,4496,20000-25000,Travels,52-61
51,18,1126,2404,956,1567,9063,15000-20000,Fornitures,43-52
34,5,3933,1544,942,24398,7939,2500-10000,Food,34-43
26,12,2946,4847,461,23768,7268,2500-10000,Food,25-16
49,1,4671,5547,2469,18278,448,15000-20000,Fornitures,43-52
54,10,4088,4499,2444,2318,9950,20000-25000,Travels,52-61
29,8,631,9288,1276,4336,11237,2500-10000,Food,25-16
32,19,2521,7238,674,993,8954,2500-10000,Food,25-16
47,6,342,5963,1862,503,5715,15000-20000,Fornitures,43-52
59,6,4483,193,1650,21219,9985,20000-25000,Travels,52-61
40,19,2786,9238,388,23827,2727,10000-15000,Electrical Products,34-43
40,20,4443,8972,1140,22145,12790,10000-15000,Electrical Products,34-43
50,2,2860,8305,1318,7798,1449,15000-20000,Fornitures,43-52
39,5,74,1650,881,3568,4511,10000-15000,Electrical Products,34-43
39,6,584,5604,677,21457,9699,10000-15000,Electrical Products,34-43
44,16,73,9738,1328,13666,796,15000-20000,Fornitures,43-52
51,13,4075,9778,46,18113,1580,15000-20000,Fornitures,43-52
47,14,2731,441,1346,3412,3037,15000-20000,Fornitures,43-52
49,6,532,645,2329,984,3368,15000-20000,Fornitures,43-52
44,3,713,3761,396,12509,13753,15000-20000,Fornitures,43-52
46,11,4310,8037,2135,17202,5726,15000-20000,Fornitures,43-52
31,18,506,7422,410,13804,556,2500-10000,Food,25-16
41,18,960,9462,1358,14169,518,10000-15000,Electrical Products,34-43
36,18,2489,9785,1419,10033,8213,10000-15000,Electrical Products,34-43
59,13,4608,383,1827,21108,5800,20000-25000,Travels,52-61
29,1,2611,2355,1021,1755,1999,2500-10000,Food,25-16
44,20,1941,8044,39,10963,149,15000-20000,Fornitures,43-52
27,19,1008,8514,1944,2254,12757,2500-10000,Food,25-16
32,3,1819,8507,622,8328,2621,2500-10000,Food,25-16
40,11,4810,7394,1278,2216,4477,10000-15000,Electrical Products,34-43
48,9,4923,4979,2011,19363,10174,15000-20000,Fornitures,43-52
52,2,3607,1723,534,21724,8515,15000-20000,Fornitures,52-61
57,8,3689,9362,1566,1869,13492,20000-25000,Travels,52-61
52,5,108,7050,1080,23440,12736,15000-20000,Fornitures,52-61
33,16,4441,8365,2276,7400,1768,2500-10000,Food,25-16
60,17,3977,2909,1703,16298,10661,20000-25000,Travels,52-61
42,11,1686,7746,503,497,13157,10000-15000,Electrical Products,34-43
28,13,504,1392,940,7553,675,2500-10000,Food,25-16
52,15,903,1361,1216,22717,11434,15000-20000,Fornitures,52-61
49,6,3481,9797,764,1636,6309,15000-20000,Fornitures,43-52
47,3,2202,751,1275,14799,12345,15000-20000,Fornitures,43-52
39,13,674,4638,98,16155,8403,10000-15000,Electrical Products,34-43
49,20,1763,8580,893,16875,2250,15000-20000,Fornitures,43-52
47,18,3621,873,1267,1551,8589,15000-20000,Fornitures,43-52
44,20,2917,5315,505,298,9312,15000-20000,Fornitures,43-52
50,1,4436,3984,1217,10863,12257,15000-20000,Fornitures,43-52
36,10,1210,4519,593,16259,8496,10000-15000,Electrical Products,34-43
54,2,3138,8688,266,8438,14713,20000-25000,Travels,52-61
16,16,1137,9770,92,5353,11954,0-2500,Games,16-25
45,10,4174,9327,63,2708,3473,15000-20000,Fornitures,43-52
50,5,1263,9535,2475,7936,12309,15000-20000,Fornitures,43-52
42,5,1068,2621,294,13809,10741,10000-15000,Electrical Products,34-43
42,16,914,6739,2278,18922,10882,10000-15000,Electrical Products,34-43
57,9,617,6581,489,4187,4904,20000-25000,Travels,52-61
42,6,2496,6131,1296,24076,13698,10000-15000,Electrical Products,34-43
40,15,3713,1681,934,11236,2877,10000-15000,Electrical Products,34-43
51,13,2577,6325,824,3909,3302,15000-20000,Fornitures,43-52
56,3,4762,335,109,18416,3539,20000-25000,Travels,52-61
51,17,23,5502,2394,19332,6625,15000-20000,Fornitures,43-52
39,9,433,6014,374,1090,5401,10000-15000,Electrical Products,34-43
40,8,70,1172,1002,15910,9987,10000-15000,Electrical Products,34-43
48,18,935,1994,1504,1057,8649,15000-20000,Fornitures,43-52
56,11,3674,709,28,12057,12589,20000-25000,Travels,52-61
53,20,4202,9262,159,6639,3258,20000-25000,Travels,52-61
49,4,1822,9028,2366,6047,8801,15000-20000,Fornitures,43-52
29,8,2087,3459,1583,24793,14056,2500-10000,Food,25-16
26,15,4473,9874,1266,19784,4724,2500-10000,Food,25-16
47,8,2407,2113,2162,19027,13072,15000-20000,Fornitures,43-52
47,2,1192,6281,1902,18913,7289,15000-20000,Fornitures,43-52
56,5,1994,1498,1209,20478,12057,20000-25000,Travels,52-61
36,14,2328,6277,2188,24016,170,10000-15000,Electrical Products,34-43
48,15,4633,7552,1694,1736,9092,15000-20000,Fornitures,43-52
32,1,1339,8119,1769,12890,12311,2500-10000,Food,25-16
38,11,2183,3614,637,21814,3365,10000-15000,Electrical Products,34-43
52,2,1824,3877,774,9835,4919,15000-20000,Fornitures,52-61
46,8,3969,2434,2456,23796,6361,15000-20000,Fornitures,43-52
35,5,792,3703,1085,22992,9588,10000-15000,Electrical Products,34-43
37,8,2242,7289,1206,20223,7152,10000-15000,Electrical Products,34-43
42,8,4900,5285,734,8179,13314,10000-15000,Electrical Products,34-43
43,2,3920,9305,1540,7548,11926,10000-15000,Electrical Products,43-52
27,11,2958,6457,1099,9110,923,2500-10000,Food,25-16
37,14,2689,4815,2099,10301,13054,10000-15000,Electrical Products,34-43
40,19,2649,9623,536,4272,13578,10000-15000,Electrical Products,34-43
40,4,3171,5427,1569,7460,3228,10000-15000,Electrical Products,34-43
56,20,2972,7267,83,4754,13572,20000-25000,Travels,52-61
48,19,4963,5296,1003,20689,9872,15000-20000,Fornitures,43-52
46,7,220,6661,2466,2552,3852,15000-20000,Fornitures,43-52
45,10,462,3179,528,22597,6890,15000-20000,Fornitures,43-52
45,13,3976,9406,619,53,6829,15000-20000,Fornitures,43-52
48,4,3010,4334,426,4068,5812,15000-20000,Fornitures,43-52
24,1,3178,3976,2153,14614,5677,0-2500,Games,16-25
29,9,1403,1455,1110,18125,6561,2500-10000,Food,25-16
67,16,4421,6540,1561,11001,3560,0-10000,Home Prodcts,61-70
37,4,3823,1928,1225,22644,14549,10000-15000,Electrical Products,34-43
51,8,1356,9885,1664,3793,5827,15000-20000,Fornitures,43-52
45,12,2879,4793,447,6302,14314,15000-20000,Fornitures,43-52
37,18,3118,4594,241,4902,4748,10000-15000,Electrical Products,34-43
50,6,2220,3914,1029,4049,2648,15000-20000,Fornitures,43-52
38,8,790,5806,96,210,13256,10000-15000,Electrical Products,34-43
22,9,2710,9828,409,13154,7680,0-2500,Games,16-25
45,17,3953,8222,1821,14249,6321,15000-20000,Fornitures,43-52
26,9,398,7771,1578,11515,4879,2500-10000,Food,25-16
36,15,550,6958,1190,4491,10509,10000-15000,Electrical Products,34-43
40,3,4176,2542,2277,19430,2315,10000-15000,Electrical Products,34-43
53,14,3438,2393,470,10722,5580,20000-25000,Travels,52-61
47,9,3889,9814,1079,11019,7671,15000-20000,Fornitures,43-52
46,11,1631,8231,1773,18298,13053,15000-20000,Fornitures,43-52
58,1,211,8672,691,1028,4449,20000-25000,Travels,52-61
51,18,747,6002,1711,13210,7015,15000-20000,Fornitures,43-52
53,11,1658,6234,719,13065,14752,20000-25000,Travels,52-61
34,18,3881,9106,1854,6362,3075,2500-10000,Food,34-43
44,3,3744,4916,856,14720,1122,15000-20000,Fornitures,43-52
37,16,3419,7972,78,22206,14145,10000-15000,Electrical Products,34-43
55,4,333,2481,2473,21632,8576,20000-25000,Travels,52-61
58,20,2882,7693,1518,1749,7526,20000-25000,Travels,52-61
38,13,3470,6724,744,3991,9944,10000-15000,Electrical Products,34-43
49,11,4275,5925,1545,13819,5261,15000-20000,Fornitures,43-52
36,14,2515,5781,2077,19019,11430,10000-15000,Electrical Products,34-43
34,3,2858,7540,1460,2158,12722,2500-10000,Food,34-43
54,13,3892,4153,1959,6684,11356,20000-25000,Travels,52-61
36,5,401,1232,1446,6132,5868,10000-15000,Electrical Products,34-43
27,8,2999,698,1397,1617,1327,2500-10000,Food,25-16
41,3,1578,6731,1351,15984,11059,10000-15000,Electrical Products,34-43
33,13,4327,8650,545,18460,515,2500-10000,Food,25-16
47,3,3450,7214,1510,14182,12685,15000-20000,Fornitures,43-52
46,16,2181,4006,1069,2005,2023,15000-20000,Fornitures,43-52
49,3,4366,8678,991,4952,8089,15000-20000,Fornitures,43-52
45,9,4972,9316,1044,9456,5192,15000-20000,Fornitures,43-52
50,14,255,7142,1687,7045,7390,15000-20000,Fornitures,43-52
49,7,3434,423,506,21479,4089,15000-20000,Fornitures,43-52
41,14,1777,7310,1859,20452,270,10000-15000,Electrical Products,34-43
50,15,656,6100,1817,3693,5324,15000-20000,Fornitures,43-52
31,12,4871,4914,2349,20774,1561,2500-10000,Food,25-16
40,11,1377,8586,4,23620,11860,10000-15000,Electrical Products,34-43
37,4,2149,9305,2220,19061,3402,10000-15000,Electrical Products,34-43
39,19,2823,9678,1453,1122,8297,10000-15000,Electrical Products,34-43
49,4,4620,6184,1980,4416,12957,15000-20000,Fornitures,43-52
49,6,685,2660,1460,18832,11829,15000-20000,Fornitures,43-52
49,3,485,4087,1159,4208,1661,15000-20000,Fornitures,43-52
29,16,893,8902,1315,22211,7437,2500-10000,Food,25-16
25,13,1586,1549,2347,11644,3883,0-2500,Games,25-16
33,1,1715,8041,1542,10151,2066,2500-10000,Food,25-16
44,4,4160,3063,297,14601,9326,15000-20000,Fornitures,43-52
41,10,455,3540,45,2995,11732,10000-15000,Electrical Products,34-43
44,20,2403,1259,34,11196,7589,15000-20000,Fornitures,43-52
40,5,3842,7642,347,9011,7839,10000-15000,Electrical Products,34-43
37,15,3615,709,2064,11765,7905,10000-15000,Electrical Products,34-43
46,2,4704,3859,221,13150,7407,15000-20000,Fornitures,43-52
42,3,1956,5569,725,13583,1281,10000-15000,Electrical Products,34-43
46,2,4136,7364,1484,23211,1707,15000-20000,Fornitures,43-52
37,20,845,4552,1849,10360,3068,10000-15000,Electrical Products,34-43
32,12,1771,2878,1849,22385,5609,2500-10000,Food,25-16
63,11,702,8174,1177,21848,4854,0-10000,Home Prodcts,61-70
37,15,2272,5709,552,22546,2112,10000-15000,Electrical Products,34-43
39,16,3443,4917,1505,15306,5071,10000-15000,Electrical Products,34-43
50,8,2802,3503,2166,1689,9698,15000-20000,Fornitures,43-52
35,20,604,7626,1937,14610,11674,10000-15000,Electrical Products,34-43
30,17,4748,2805,1555,12461,4612,2500-10000,Food,25-16
54,14,3005,7842,1313,13134,9734,20000-25000,Travels,52-61
48,20,2857,1001,1288,12324,4787,15000-20000,Fornitures,43-52
38,12,3293,864,1542,17871,3968,10000-15000,Electrical Products,34-43
43,10,1749,8723,675,8405,8758,10000-15000,Electrical Products,43-52
43,8,1559,5986,402,13124,13796,10000-15000,Electrical Products,43-52
48,2,982,7474,1523,14185,11031,15000-20000,Fornitures,43-52
60,13,3435,5544,1327,16848,8256,20000-25000,Travels,52-61
58,13,3509,6001,1968,8351,6516,20000-25000,Travels,52-61
50,14,55,3394,176,1609,1287,15000-20000,Fornitures,43-52
46,20,715,3163,1812,24590,14018,15000-20000,Fornitures,43-52
56,3,1308,7309,71,166,14818,20000-25000,Travels,52-61
28,17,4810,5736,309,9044,7979,2500-10000,Food,25-16
47,10,3263,5284,1,1521,11405,15000-20000,Fornitures,43-52
48,20,943,7752,1971,490,9220,15000-20000,Fornitures,43-52
50,6,4901,8383,1616,16292,6736,15000-20000,Fornitures,43-52
52,13,982,159,1480,16959,13849,15000-20000,Fornitures,52-61
38,16,4328,5877,2323,10034,6460,10000-15000,Electrical Products,34-43
46,11,214,1150,2372,7700,10308,15000-20000,Fornitures,43-52
52,11,117,5006,476,13435,10111,15000-20000,Fornitures,52-61
27,20,4135,4917,2129,23997,4012,2500-10000,Food,25-16
48,17,2469,9990,1515,24176,2249,15000-20000,Fornitures,43-52
48,15,3498,2937,2478,21288,10494,15000-20000,Fornitures,43-52
45,2,1732,2530,2433,19375,1820,15000-20000,Fornitures,43-52
40,2,3527,3276,161,9784,4359,10000-15000,Electrical Products,34-43
44,19,3692,4599,380,4483,3552,15000-20000,Fornitures,43-52
29,5,4903,2833,1524,6041,8501,2500-10000,Food,25-16
37,9,4274,9859,1566,4457,4712,10000-15000,Electrical Products,34-43
33,6,3874,4385,2222,3733,6423,2500-10000,Food,25-16
33,15,3663,8572,1033,14352,9403,2500-10000,Food,25-16
27,8,3832,1387,1117,24895,3799,2500-10000,Food,25-16
40,10,376,5219,367,8674,6478,10000-15000,Electrical Products,34-43
46,19,2787,3755,2407,6968,12873,15000-20000,Fornitures,43-52
37,18,3434,6230,1369,11607,8492,10000-15000,Electrical Products,34-43
35,9,4723,3406,1788,24456,12653,10000-15000,Electrical Products,34-43
39,12,2396,261,641,4124,7054,10000-15000,Electrical Products,34-43
35,17,1086,7239,237,14542,4860,10000-15000,Electrical Products,34-43
42,18,2225,5126,755,2121,196,10000-15000,Electrical Products,34-43
55,20,59,1621,1841,3510,14994,20000-25000,Travels,52-61
53,1,4264,6341,562,19644,8894,20000-25000,Travels,52-61
61,20,590,6378,976,9828,11071,20000-25000,Travels,61-70
46,9,1593,9952,1734,13113,12628,15000-20000,Fornitures,43-52
39,9,3765,4097,2441,23113,14934,10000-15000,Electrical Products,34-43
52,18,2842,7234,1679,9006,7908,15000-20000,Fornitures,52-61
33,20,651,2837,1292,11697,4109,2500-10000,Food,25-16
46,17,4081,4715,1605,15406,14366,15000-20000,Fornitures,43-52
51,14,799,5108,2211,14598,13416,15000-20000,Fornitures,43-52
41,12,3579,9865,678,4715,2752,10000-15000,Electrical Products,34-43
63,9,2807,4055,1031,11502,1750,0-10000,Home Prodcts,61-70
44,5,1926,3411,1272,23015,1713,15000-20000,Fornitures,43-52
25,4,2729,752,849,850,12698,0-2500,Games,25-16
49,9,2849,5301,91,2756,9901,15000-20000,Fornitures,43-52
39,2,1192,7600,1876,10333,11503,10000-15000,Electrical Products,34-43
52,10,2258,271,272,901,83,15000-20000,Fornitures,52-61
38,6,357,2918,733,7046,13526,10000-15000,Electrical Products,34-43
49,4,173,5115,1768,5804,118,15000-20000,Fornitures,43-52
44,3,1824,18,1498,15346,8220,15000-20000,Fornitures,43-52
43,8,3871,8253,469,11322,10452,10000-15000,Electrical Products,43-52
41,4,1979,9407,859,492,13786,10000-15000,Electrical Products,34-43
52,14,3987,3563,1956,3415,6654,15000-20000,Fornitures,52-61
30,13,612,39,0,1782,2467,2500-10000,Food,25-16
38,5,4238,5265,1538,116,10473,10000-15000,Electrical Products,34-43
57,4,3211,2537,398,6315,3748,20000-25000,Travels,52-61
31,1,2568,5921,2315,8395,7692,2500-10000,Food,25-16
25,20,3972,632,1463,16412,871,0-2500,Games,25-16
41,19,4013,3105,2348,21230,13953,10000-15000,Electrical Products,34-43
47,8,2838,4298,287,16982,299,15000-20000,Fornitures,43-52
48,1,1056,4976,974,18170,6220,15000-20000,Fornitures,43-52
49,18,2606,8346,485,8456,6075,15000-20000,Fornitures,43-52
48,17,4638,4237,1756,10875,4999,15000-20000,Fornitures,43-52
39,1,1277,5446,1022,4964,4449,10000-15000,Electrical Products,34-43
37,7,4511,6819,2017,19167,1465,10000-15000,Electrical Products,34-43
49,8,3232,6120,1807,7949,8239,15000-20000,Fornitures,43-52
48,15,4223,174,1314,10314,76,15000-20000,Fornitures,43-52
58,12,3017,6536,1829,19310,14892,20000-25000,Travels,52-61
57,19,1427,5309,521,1584,8885,20000-25000,Travels,52-61
47,4,2945,3361,449,12090,11802,15000-20000,Fornitures,43-52
35,1,4552,848,600,10726,516,10000-15000,Electrical Products,34-43
55,3,1507,959,222,18870,2812,20000-25000,Travels,52-61
45,10,3039,3276,2027,16471,14596,15000-20000,Fornitures,43-52
44,13,4438,3954,413,18887,5949,15000-20000,Fornitures,43-52
43,13,884,1223,1659,12200,9646,10000-15000,Electrical Products,43-52
48,13,762,1118,98,4690,14257,15000-20000,Fornitures,43-52
48,5,2315,4516,1785,23285,2195,15000-20000,Fornitures,43-52
54,4,4700,1376,964,14053,14239,20000-25000,Travels,52-61
55,15,943,8052,1466,7654,10362,20000-25000,Travels,52-61
33,3,531,3925,1950,15894,7287,2500-10000,Food,25-16
39,9,4876,7683,1516,23292,4427,10000-15000,Electrical Products,34-43
45,11,2546,4463,889,6289,2742,15000-20000,Fornitures,43-52
44,20,1166,5880,1027,19738,8950,15000-20000,Fornitures,43-52
50,18,2542,2996,2076,18044,5377,15000-20000,Fornitures,43-52
59,9,2455,4654,1403,2028,8527,20000-25000,Travels,52-61
42,6,1389,5639,733,18707,11457,10000-15000,Electrical Products,34-43
55,8,415,3566,1417,18701,6657,20000-25000,Travels,52-61
44,12,2918,1452,676,20565,10445,15000-20000,Fornitures,43-52
45,8,4467,3382,932,10426,1158,15000-20000,Fornitures,43-52
39,7,1315,2125,673,19945,9254,10000-15000,Electrical Products,34-43
49,7,2125,5575,2023,21390,8130,15000-20000,Fornitures,43-52
31,10,4363,8181,1237,2577,6229,2500-10000,Food,25-16
38,6,3576,5720,1122,18779,13543,10000-15000,Electrical Products,34-43
42,4,4769,5892,526,19214,13719,10000-15000,Electrical Products,34-43
44,19,1816,23,2478,3537,12283,15000-20000,Fornitures,43-52
50,11,426,8238,1633,6,5223,15000-20000,Fornitures,43-52
41,11,4500,962,1585,4501,2487,10000-15000,Electrical Products,34-43
40,16,1257,3996,254,24332,3974,10000-15000,Electrical Products,34-43
49,19,198,7719,571,7495,8038,15000-20000,Fornitures,43-52
47,9,2072,1608,934,8045,2523,15000-20000,Fornitures,43-52
42,12,830,1318,1630,20562,10839,10000-15000,Electrical Products,34-43
37,7,2988,9429,1621,15322,9378,10000-15000,Electrical Products,34-43
34,19,2802,3881,1723,23339,11866,2500-10000,Food,34-43
33,12,4364,462,797,15780,9814,2500-10000,Food,25-16
32,3,875,2329,2332,14787,5328,2500-10000,Food,25-16
34,4,1553,2324,1892,22344,686,2500-10000,Food,34-43
57,18,2604,5603,1432,9401,10316,20000-25000,Travels,52-61
44,18,1369,3260,1800,2553,14956,15000-20000,Fornitures,43-52
47,6,3313,7359,317,1319,6870,15000-20000,Fornitures,43-52
41,3,2071,3909,909,20284,13577,10000-15000,Electrical Products,34-43
21,7,1871,7236,889,16934,3960,0-2500,Games,16-25
53,15,3816,2401,1584,5619,9730,20000-25000,Travels,52-61
66,13,976,253,2208,11416,3413,0-10000,Home Prodcts,61-70
55,6,3085,7024,561,10898,1048,20000-25000,Travels,52-61
41,4,4659,5377,289,186,13461,10000-15000,Electrical Products,34-43
45,9,3806,7741,996,9123,14056,15000-20000,Fornitures,43-52
36,2,4897,5194,2072,773,367,10000-15000,Electrical Products,34-43
45,2,3255,8043,484,20513,1082,15000-20000,Fornitures,43-52
52,1,4135,3283,1353,3503,12587,15000-20000,Fornitures,52-61
42,4,3388,1950,283,21966,13143,10000-15000,Electrical Products,34-43
48,11,867,5305,735,13802,8982,15000-20000,Fornitures,43-52
43,14,2858,394,1499,17550,872,10000-15000,Electrical Products,43-52
40,4,3502,114,1655,4656,14245,10000-15000,Electrical Products,34-43
34,6,1847,7393,1046,14530,1671,2500-10000,Food,34-43
